"site","lat","lon","geometry"
"tract_06075026402",37.716493426533,-122.403490891214,c(-122.403490891214, 37.716493426533)
"tract_06075026403",37.7111907201883,-122.40691244612,c(-122.40691244612, 37.7111907201883)
"tract_06075030101",37.7642567963746,-122.459742851571,c(-122.459742851571, 37.7642567963746)
"tract_06075030102",37.7583609906258,-122.456914975108,c(-122.456914975108, 37.7583609906258)
"tract_06075030201",37.7628135705379,-122.473784038702,c(-122.473784038702, 37.7628135705379)
"tract_06075030301",37.7569391273894,-122.469233206217,c(-122.469233206217, 37.7569391273894)
"tract_06075030302",37.7519363631331,-122.471631304534,c(-122.471631304534, 37.7519363631331)
"tract_06075030400",37.7469524578629,-122.467525358577,c(-122.467525358577, 37.7469524578629)
"tract_06075030500",37.7517355251275,-122.452620141055,c(-122.452620141055, 37.7517355251275)
"tract_06075030600",37.7437534787846,-122.457138869301,c(-122.457138869301, 37.7437534787846)
"tract_06075030700",37.7374217764111,-122.450236273194,c(-122.450236273194, 37.7374217764111)
"tract_06075030800",37.7391919752562,-122.467863977316,c(-122.467863977316, 37.7391919752562)
"tract_06075026201",37.7097063817938,-122.45830169565,c(-122.45830169565, 37.7097063817938)
"tract_06075026202",37.7134048967994,-122.448317902618,c(-122.448317902618, 37.7134048967994)
"tract_06075012405",37.7795194735922,-122.41746204911,c(-122.41746204911, 37.7795194735922)
"tract_06075020101",37.7702372789753,-122.42014733145,c(-122.42014733145, 37.7702372789753)
"tract_06075017603",37.7763091721123,-122.414340680852,c(-122.414340680852, 37.7763091721123)
"tract_06075017803",37.7734260042348,-122.412041934066,c(-122.412041934066, 37.7734260042348)
"tract_06075012503",37.7834656903398,-122.410508611127,c(-122.410508611127, 37.7834656903398)
"tract_06075017804",37.7776290569377,-122.40672429114,c(-122.40672429114, 37.7776290569377)
"tract_06075017602",37.782124097932,-122.407018104249,c(-122.407018104249, 37.782124097932)
"tract_06075061503",37.7857922232361,-122.39653530051,c(-122.39653530051, 37.7857922232361)
"tract_06075060703",37.7749279006908,-122.39570794538,c(-122.39570794538, 37.7749279006908)
"tract_06075061402",37.7565832135279,-122.394700806912,c(-122.394700806912, 37.7565832135279)
"tract_06075061502",37.7817146985336,-122.392979643782,c(-122.392979643782, 37.7817146985336)
"tract_06075017903",37.8192638120926,-122.370185768465,c(-122.370185768465, 37.8192638120926)
"tract_06075045201",37.7770418963627,-122.469601341245,c(-122.469601341245, 37.7770418963627)
"tract_06075035102",37.7547780133122,-122.49902428928,c(-122.49902428928, 37.7547780133122)
"tract_06075980600",37.7225064666289,-122.367775281369,c(-122.367775281369, 37.7225064666289)
"tract_06075015701",37.778485532208,-122.450719191043,c(-122.450719191043, 37.778485532208)
"tract_06075015402",37.7855854247942,-122.451401750905,c(-122.451401750905, 37.7855854247942)
"tract_06075015702",37.7794925535,-122.444371602993,c(-122.444371602993, 37.7794925535)
"tract_06075016602",37.7699466951377,-122.451145763791,c(-122.451145763791, 37.7699466951377)
"tract_06075016601",37.7708668031596,-122.444940919328,c(-122.444940919328, 37.7708668031596)
"tract_06075012504",37.7811410985112,-122.41295447069,c(-122.41295447069, 37.7811410985112)
"tract_06075020102",37.7650521885716,-122.41968795079,c(-122.41968795079, 37.7650521885716)
"tract_06075020802",37.7618331704581,-122.419377759648,c(-122.419377759648, 37.7618331704581)
"tract_06075020801",37.7578340530484,-122.418996021143,c(-122.418996021143, 37.7578340530484)
"tract_06075061401",37.7537615660429,-122.399943239472,c(-122.399943239472, 37.7537615660429)
"tract_06075020702",37.761568611664,-122.423783382077,c(-122.423783382077, 37.761568611664)
"tract_06075060702",37.7680889831165,-122.400307205219,c(-122.400307205219, 37.7680889831165)
"tract_06075012001",37.7884288113011,-122.418628820461,c(-122.418628820461, 37.7884288113011)
"tract_06075010101",37.8087055110434,-122.410718688219,c(-122.410718688219, 37.8087055110434)
"tract_06075010102",37.804689982352,-122.413943749038,c(-122.413943749038, 37.804689982352)
"tract_06075060701",37.7736234375698,-122.387410936548,c(-122.387410936548, 37.7736234375698)
"tract_06075033001",37.7385690745116,-122.489895019997,c(-122.489895019997, 37.7385690745116)
"tract_06075033002",37.7384874379691,-122.48175767962,c(-122.48175767962, 37.7384874379691)
"tract_06075031401",37.7128910751274,-122.457107761948,c(-122.457107761948, 37.7128910751274)
"tract_06075025501",37.725684944518,-122.441192461031,c(-122.441192461031, 37.725684944518)
"tract_06075010202",37.8074107401093,-122.422606838434,c(-122.422606838434, 37.8074107401093)
"tract_06075061504",37.7852562293959,-122.392412477063,c(-122.392412477063, 37.7852562293959)
"tract_06075061507",37.7913808181802,-122.389988989664,c(-122.389988989664, 37.7913808181802)
"tract_06075025502",37.7304261982542,-122.433355678923,c(-122.433355678923, 37.7304261982542)
"tract_06075016101",37.7795614930058,-122.431954423246,c(-122.431954423246, 37.7795614930058)
"tract_06075990200",37.8046338012159,-122.372865752869,c(-122.372865752869, 37.8046338012159)
"tract_06075016102",37.7801931712698,-122.427022151818,c(-122.427022151818, 37.7801931712698)
"tract_06075012801",37.7974428103603,-122.44389578038,c(-122.44389578038, 37.7974428103603)
"tract_06075010402",37.8018997728379,-122.405257535576,c(-122.405257535576, 37.8018997728379)
"tract_06075061101",37.7956248856168,-122.403356193624,c(-122.403356193624, 37.7956248856168)
"tract_06075047904",37.790067295806,-122.515384218561,c(-122.515384218561, 37.790067295806)
"tract_06075061102",37.7954827574481,-122.407365761962,c(-122.407365761962, 37.7954827574481)
"tract_06075061501",37.7878384448181,-122.400107884302,c(-122.400107884302, 37.7878384448181)
"tract_06075012403",37.7829458421852,-122.416609348112,c(-122.416609348112, 37.7829458421852)
"tract_06075047903",37.775421040511,-122.503740022743,c(-122.503740022743, 37.775421040511)
"tract_06075035101",37.7616791967497,-122.499332927853,c(-122.499332927853, 37.7616791967497)
"tract_06075061506",37.787659388396,-122.391016515655,c(-122.391016515655, 37.787659388396)
"tract_06075061505",37.7891026912772,-122.390643833722,c(-122.390643833722, 37.7891026912772)
"tract_06075045202",37.777237264199,-122.465624020609,c(-122.465624020609, 37.777237264199)
"tract_06075012406",37.7830940467958,-122.419211504428,c(-122.419211504428, 37.7830940467958)
"tract_06075012404",37.7831562380666,-122.414968462805,c(-122.414968462805, 37.7831562380666)
"tract_06075017604",37.7798581979578,-122.411743412924,c(-122.411743412924, 37.7798581979578)
"tract_06075015401",37.7833424130709,-122.450727626338,c(-122.450727626338, 37.7833424130709)
"tract_06075010901",37.798272610263,-122.418860731391,c(-122.418860731391, 37.798272610263)
"tract_06075012204",37.7859515104762,-122.415534068315,c(-122.415534068315, 37.7859515104762)
"tract_06075015202",37.7877047688835,-122.431911106682,c(-122.431911106682, 37.7877047688835)
"tract_06075010902",37.7978102045125,-122.422194728757,c(-122.422194728757, 37.7978102045125)
"tract_06075015201",37.788332369261,-122.426975939764,c(-122.426975939764, 37.788332369261)
"tract_06075020701",37.7575671749955,-122.423399421292,c(-122.423399421292, 37.7575671749955)
"tract_06075011001",37.7934677815288,-122.419632117058,c(-122.419632117058, 37.7934677815288)
"tract_06075011102",37.7898364941233,-122.418904401888,c(-122.418904401888, 37.7898364941233)
"tract_06075012002",37.787495659844,-122.418424860561,c(-122.418424860561, 37.787495659844)
"tract_06075010401",37.8027795812755,-122.410688038361,c(-122.410688038361, 37.8027795812755)
"tract_06075010701",37.7974989091387,-122.409256834867,c(-122.409256834867, 37.7974989091387)
"tract_06075010702",37.7996810976471,-122.410954691342,c(-122.410954691342, 37.7996810976471)
"tract_06075011002",37.795261746648,-122.419959170254,c(-122.419959170254, 37.795261746648)
"tract_06075012203",37.7857411907865,-122.41717434121,c(-122.41717434121, 37.7857411907865)
"tract_06075031402",37.7160856553525,-122.457171208036,c(-122.457171208036, 37.7160856553525)
"tract_06075013401",37.7901590069532,-122.438331341293,c(-122.438331341293, 37.7901590069532)
"tract_06075013402",37.789536134502,-122.443288831025,c(-122.443288831025, 37.789536134502)
"tract_06075012802",37.7983582796755,-122.438535398485,c(-122.438535398485, 37.7983582796755)
"tract_06075013002",37.7968322860687,-122.433754643329,c(-122.433754643329, 37.7968322860687)
"tract_06075020202",37.768781770103,-122.42423692519,c(-122.42423692519, 37.768781770103)
"tract_06075020601",37.7609051841523,-122.430082366095,c(-122.430082366095, 37.7609051841523)
"tract_06075020201",37.764787903689,-122.424094592944,c(-122.424094592944, 37.764787903689)
"tract_06075061508",37.7847355766203,-122.387071829929,c(-122.387071829929, 37.7847355766203)
"tract_06075013001",37.7976626847322,-122.427227713656,c(-122.427227713656, 37.7976626847322)
"tract_06075010201",37.8013028958939,-122.42121473425,c(-122.42121473425, 37.8013028958939)
"tract_06075011101",37.7916821954636,-122.419265632501,c(-122.419265632501, 37.7916821954636)
